area,index,starttime,endtime
A41/42,267,55.78125,55.921875,
A41/42,268,55.9375,56.078125,
A41/42,269,56.09375,56.234375,
A41/42,270,56.5625,56.703125,
A41/42,271,56.71875,56.859375,
A41/42,272,56.875,57.015625,
A41/42,273,57.03125,57.171875,
A41/42,274,57.1875,57.328125,
A41/42,275,57.34375,57.484375,
A41/42,276,57.8125,57.953125,
A41/42,277,57.96875,58.109375,
A41/42,278,58.125,58.265625,
A41/42,279,58.28125,58.421875,
A41/42,280,58.4375,58.578125,
A41/42,281,58.59375,58.734375,
A41/42,282,59.0625,59.203125,
A41/42,283,59.21875,59.359375,
A41/42,284,59.375,59.515625,
A41/42,285,59.53125,59.671875,
A41/42,286,59.6875,59.828125,
A41/42,287,59.84375,59.984375,
A41/42,288,60.3125,60.453125,
A41/42,289,60.46875,60.609375,
A41/42,290,60.625,60.765625,
A41/42,291,60.78125,60.921875,
A41/42,292,60.9375,61.078125,
A41/42,293,61.09375,61.234375,
A41/42,294,61.5625,61.703125,
A41/42,295,61.71875,61.859375,
A41/42,296,61.875,62.015625,
A41/42,297,62.03125,62.171875,
A41/42,298,62.1875,62.328125,
A41/42,299,62.34375,62.484375,
A41/42,300,62.8125,62.953125,
A41/42,301,62.96875,63.109375,
A41/42,302,63.125,63.265625,
A41/42,303,63.28125,63.421875,
A41/42,304,63.4375,63.578125,
A41/42,305,63.59375,63.734375,
A41/42,306,64.0625,64.203125,
A41/42,307,64.21875,64.359375,
A41/42,308,64.375,64.515625,
A41/42,309,64.53125,64.671875,
A41/42,310,64.6875,64.828125,
A41/42,311,64.84375,64.984375,
A41/42,312,65.3125,65.453125,
A41/42,313,65.46875,65.609375,
A41/42,314,65.625,65.765625,
A41/42,315,65.78125,65.921875,
A41/42,316,65.9375,66.078125,
A41/42,317,66.09375,66.234375,
A41/42,318,66.5625,66.703125,
A41/42,319,66.71875,66.859375,
A41/42,320,66.875,67.015625,
A41/42,321,67.03125,67.171875,
A41/42,322,67.1875,67.328125,
A41/42,323,67.34375,67.484375,
A41/42,324,67.8125,67.953125,
A41/42,325,67.96875,68.109375,
A41/42,326,68.125,68.265625,
A41/42,327,68.28125,68.421875,
A41/42,328,68.4375,68.578125,
A41/42,329,68.59375,68.734375,
A41/42,330,69.0625,69.203125,
A41/42,331,69.21875,69.359375,
A41/42,332,69.375,69.515625,
A41/42,333,69.53125,69.671875,
A41/42,334,69.6875,69.828125,
A41/42,335,69.84375,69.984375,
A41/42,336,70.3125,70.453125,
A41/42,337,70.46875,70.609375,
A41/42,338,70.625,70.765625,
A41/42,339,70.78125,70.921875,
A41/42,340,70.9375,71.078125,
A41/42,341,71.09375,71.234375,
A41/42,342,71.5625,71.703125,
A41/42,343,71.71875,71.859375,
A41/42,344,71.875,72.015625,
A41/42,345,72.03125,72.171875,
A41/42,346,72.1875,72.328125,
A41/42,347,72.34375,72.484375,
A41/42,348,72.8125,72.953125,
A41/42,349,72.96875,73.109375,
A41/42,350,73.125,73.265625,
A41/42,351,73.28125,73.421875,
A41/42,352,73.4375,73.578125,
A41/42,353,73.59375,73.734375,
A41/42,354,74.0625,74.203125,
