(b'MThd', 6, 1, 3, 480)
MidiEvent : delta_time = 252, status = 144, data = [64, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [64, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [73, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [73, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [64, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [64, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [73, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [73, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [62, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [62, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [69, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [69, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [74, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [74, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [62, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [62, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [69, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [69, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [74, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [74, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [62, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [62, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [69, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [69, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [74, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [74, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [62, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [62, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [69, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [69, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [74, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [74, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [62, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [62, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [65, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [65, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [71, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [71, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [62, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [62, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [65, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [65, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [71, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [71, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [62, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [62, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [65, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [65, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [71, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [71, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [62, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [62, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [65, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [65, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [71, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [71, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [60, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [60, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [67, 80], event type: Note on
